--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
030.465  000.047  000.047: require('nvim-tree.actions.fs.rename-file')
030.510  000.043  000.043: require('nvim-tree.actions.fs.trash')
030.513  000.458  000.044: require('nvim-tree.actions.fs')
030.632  000.045  000.045: require('nvim-tree.diagnostics')
030.635  000.087  000.042: require('nvim-tree.actions.moves.item')
030.680  000.044  000.044: require('nvim-tree.actions.moves.parent')
030.728  000.046  000.046: require('nvim-tree.actions.moves.sibling')
030.730  000.217  000.040: require('nvim-tree.actions.moves')
030.803  000.037  000.037: require('nvim-tree.actions.node.file-popup')
030.989  000.081  000.081: require('nvim-tree.appearance')
030.992  000.124  000.044: require('nvim-tree.renderer.components.full-name')
030.995  000.190  000.066: require('nvim-tree.actions.node.open-file')
031.030  000.034  000.034: require('nvim-tree.actions.node.run-command')
031.074  000.042  000.042: require('nvim-tree.actions.node.system-open')
031.109  000.034  000.034: require('nvim-tree.actions.node.buffer')
031.111  000.380  000.043: require('nvim-tree.actions.node')
031.213  000.044  000.044: require('nvim-tree.actions.root.change-dir')
031.247  000.032  000.032: require('nvim-tree.actions.root.dir-up')
031.250  000.137  000.061: require('nvim-tree.actions.root')
031.388  000.038  000.038: require('nvim-tree.actions.tree.find-file')
031.502  000.053  000.053: require('nvim-tree.actions.tree.modifiers.collapse')
031.567  000.063  000.063: require('nvim-tree.actions.tree.modifiers.expand')
031.570  000.179  000.062: require('nvim-tree.actions.tree.modifiers')
031.605  000.034  000.034: require('nvim-tree.actions.tree.open')
031.645  000.038  000.038: require('nvim-tree.actions.tree.toggle')
031.686  000.039  000.039: require('nvim-tree.actions.tree.resize')
031.688  000.401  000.073: require('nvim-tree.actions.tree')
031.689  002.102  000.086: require('nvim-tree.actions')
031.934  000.005  000.005: require('vim.F')
031.971  000.267  000.261: require('vim.diagnostic')
031.997  003.184  000.667: require('nvim-tree')
032.051  000.043  000.043: require('nvim-tree.legacy')
032.179  000.015  000.015: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
032.188  000.006  000.006: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
032.265  000.061  000.061: require('nvim-tree.keymap')
032.664  000.041  000.041: require('nvim-tree.buffers')
032.827  000.084  000.084: require('nvim-tree.git.runner')
032.909  000.080  000.080: require('nvim-tree.watcher')
032.916  000.249  000.085: require('nvim-tree.git')
033.043  000.082  000.082: require('nvim-tree.node.file-link')
033.046  000.129  000.047: require('nvim-tree.node.factory')
033.097  000.050  000.050: require('nvim-tree.node.root')
033.209  000.048  000.048: require('nvim-tree.enum')
033.215  000.116  000.068: require('nvim-tree.explorer.filters')
033.294  000.078  000.078: require('nvim-tree.marks')
033.375  000.079  000.079: require('nvim-tree.explorer.live-filter')
033.477  000.100  000.100: require('nvim-tree.explorer.sorter')
033.606  000.127  000.127: require('nvim-tree.actions.fs.clipboard')
033.918  000.060  000.060: require('nvim-tree.renderer.decorator')
033.924  000.114  000.054: require('nvim-tree.renderer.decorator.bookmarks')
033.957  000.032  000.032: require('nvim-tree.renderer.decorator.copied')
033.983  000.025  000.025: require('nvim-tree.renderer.decorator.cut')
034.026  000.042  000.042: require('nvim-tree.renderer.decorator.diagnostics')
034.078  000.051  000.051: require('nvim-tree.renderer.decorator.git')
034.121  000.043  000.043: require('nvim-tree.renderer.decorator.hidden')
034.150  000.028  000.028: require('nvim-tree.renderer.decorator.modified')
034.186  000.035  000.035: require('nvim-tree.renderer.decorator.opened')
034.207  000.021  000.021: require('nvim-tree.renderer.decorator.user')
034.244  000.036  000.036: require('nvim-tree.renderer.components.padding')
034.250  000.552  000.125: require('nvim-tree.renderer.builder')
034.255  000.646  000.095: require('nvim-tree.renderer')
034.375  000.049  000.049: require('nvim-tree.globals')
034.385  000.130  000.080: require('nvim-tree.explorer.view')
034.393  001.858  000.112: require('nvim-tree.explorer')
034.436  000.042  000.042: require('nvim-tree.explorer.watch')
034.472  000.033  000.033: require('nvim-tree.renderer.components')
034.648  000.109  000.109: require('nvim-web-devicons.filetypes')
035.228  000.383  000.383: require('nvim-web-devicons.default.icons_by_filename')
036.147  000.915  000.915: require('nvim-web-devicons.default.icons_by_file_extension')
036.207  000.058  000.058: require('nvim-web-devicons.default.icons_by_operating_system')
036.227  000.019  000.019: require('nvim-web-devicons.default.icons_by_desktop_environment')
036.246  000.019  000.019: require('nvim-web-devicons.default.icons_by_window_manager')
036.247  001.482  000.088: require('nvim-web-devicons.icons-default')
036.448  001.974  000.382: require('nvim-web-devicons')
037.764  000.061  000.061: require('nvim-tree.help')
037.843  000.026  000.026: require('nvim-tree.appearance.hi-test')
037.863  000.094  000.068: require('nvim-tree.api')
037.917  000.022  000.022: require('nvim-tree.commands')
038.524  000.455  000.455: sourcing /home/jonco/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
038.527  000.478  000.024: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
038.534  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
038.620  000.005  000.005: sourcing /home/jonco/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
038.622  000.028  000.023: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
038.625  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
038.831  000.003  000.003: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
038.836  000.000  000.000: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
038.999  000.020  000.020: require('nvim-autopairs._log')
039.026  000.025  000.025: require('nvim-autopairs.utils')
039.115  000.042  000.042: require('nvim-autopairs.conds')
039.118  000.066  000.024: require('nvim-autopairs.rule')
039.119  000.093  000.027: require('nvim-autopairs.rules.basic')
039.123  000.252  000.115: require('nvim-autopairs')
039.346  000.002  000.002: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
039.350  000.000  000.000: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
039.492  000.014  000.014: require('mason-core.path')
039.550  000.013  000.013: require('mason-core.functional.data')
039.568  000.016  000.016: require('mason-core.functional.function')
039.608  000.024  000.024: require('mason-core.functional.list')
039.637  000.014  000.014: require('mason-core.functional.relation')
039.651  000.013  000.013: require('mason-core.functional.logic')
039.685  000.033  000.033: require('mason-core.functional.number')
039.703  000.015  000.015: require('mason-core.functional.string')
039.719  000.014  000.014: require('mason-core.functional.table')
039.733  000.013  000.013: require('mason-core.functional.type')
039.734  000.218  000.063: require('mason-core.functional')
